Job Title,Company (Locale),Remote,Timezone difference from Ireland,Salary,Summary,Required Skills,Bonus Skills
"Senior Software Engineer, Payments ",Whatnot (Ireland),Remote  ,0,"Not listed, estimated 80,000 - 120,000 EUR",Build high scale payments infrastructure for fast growing livestream shopping marketplace. Lead payments experience from end to end.,"- 5+ years software development , - Payments infrastructure experience, - Multiple programming languages , - Mentorship abilities , - Shipping products quickly","- Leadership experience, - Fast paced environments, - Retail/e-commerce"
Client Technical Director - Web3 Games,Creative Personnel (Remote),Remote ,Flexible  ,"Not listed, estimated 90,000 - 120,000 EUR",Lead client-side engineering for competitive mobile games. Define technical vision and roadmaps. Recruit and mentor high caliber team.,"- 5+ years technical direction experience , - Multiple shipped games  , - Unity expert, - Team leadership , - Communication skills","- F2P and blockchain gaming, - Backend technologies, - Game design discussions, - Growing/scaling teams"
AI Developer,Pentasia (Malta),Hybrid,1 hour ,"Competitive, not specified ","Develop and maintain chatbots, sentiment analysis tools, and other AI applications. Integrate with databases and APIs.","- Python, - TensorFlow/PyTorch  , - NLP concepts, - ML techniques, - Chatbot libraries, - Data analysis/modeling","- Cloud technologies, - Cross-functional collaboration, - Communication abilities"
Lead Tools Programmer - Engineering & Gameplay,Improbable (Ireland),Remote,0,"Not listed, estimated 80,000 - 100,000 EUR",Develop and maintain tools and engine technology powering immersive gaming worlds. Lead and mentor programmers.,"- Leadership experience, - Tools/engine programming, - C++, C","- Cloud technologies, - Unreal Engine, - Performance analysis, - Immersive technologies"
Lead Technical Designer - Design,Improbable (Ireland),Remote  ,0,"Not listed, estimated 80,000 - 100,000 EUR","Lead and mentor technical designers. Design, build and iterate on gameplay systems and features. Set quality standards and enable content creators.","- Team leadership, - Unreal Engine , - Game design and implementation , - Process discipline, - Constructive feedback","- Growing/managing teams, - Prioritization abilities  , - Unreal Blueprint , - Tool creation"
Senior Technical Artist (Web),Improbable (Ireland),Remote,0,"Not listed, estimated 70,000 - 90,000 EUR","Drive technical art processes, pipelines and quality standards. Provide guidance and critique to improve game visuals.","- Technical art mastery, - Web/3D graphics (Three.js, Babylon.js), - Unreal Engine , - Maya, Houdini, - Lighting, shaders","- Multi-platform experience, - Photoshop, Substance, ZBrush, - Python, C++, - Perforce"
Senior Unity Developer,GoodAI (Prague),Remote  ,+1 hour ,"Not listed, estimated 50,000 - 70,000 EUR","Implement game features using Unity and C#. Collaborate with designers, artists and other programmers.","- Shipped Unity games, - C","- AI knowledge, - Backend skills, - Networking, - Unity profiler, - University degree"
Unity Developer with Prompt Engineering  ,GoodAI (Prague),Remote,+1 hour,"Not listed, estimated 50,000 - 70,000 EUR",Implement LLM-powered features in Unity. Research prompting techniques. Collaborate with team.,"- Prompt engineering , - Unity, - C","- Model tuning/deployment , - Game specializations, - Backend skills, - AI knowledge , - University degree"
Research Scientist,"Anthropic (San Francisco, CA or London, UK)",Full-time/Hybrid,Depends on the chosen location,Expected salary range is $280k - $520k USD.,"Work at an organization pursuing large-scale AI research projects. Align state of the art models with human values and preferences, interpret deep neural networks, or develop new models. Research and engineering are seen as two sides of the same coin, and the focus is on creating the best outcomes over the long-term.",- At least 1 research project related to machine learning in which you played a major role.,"- Quantitative science in another field, - Clear articulation and discussion of the motivations behind your work, - Ability to write up and communicate your results, even when they're null, - Teamwork and making collaborative, data-driven research decisions, - Belief that a great way to discover a new, big-picture vision is to first get involved in the details."
Senior Software Engineer,"Anthropic (San Francisco, CA or London, UK)",Full-time/Hybrid,Depends on the chosen location,Expected salary range is $300k - $520k USD.,"Build large scale ML systems from the ground up. Focus on making safe, steerable, trustworthy systems. Roles involve touching all parts of the code and infrastructure, running and designing scientific experiments, or improving dev tooling.","- Significant software engineering experience, - Results-oriented, with a bias towards flexibility and impact, - Willingness to pick up slack, even if it goes outside your job description, - Enjoy pair programming, - Interest in learning more about machine learning research, - Caring about the societal impacts of your work","- Experience with high performance, large-scale ML systems, - Familiarity with GPUs, Kubernetes, Pytorch, or OS internals, - Experience with language modeling with transformers, - Experience with reinforcement learning, - Experience with large-scale ETL"
"Software Engineer, Product","Anthropic (London, UK)",Full-time/Hybrid,0,Expected salary range is £250k - £430k.,Join the product team to build interfaces and APIs to interact with large language models. Work with a team of engineers and researchers to design and implement key components of the product and platform.,"- 2+ years of experience as a software engineer, preferably building APIs and/or interfaces, - Strong coding skills in Python and TypeScript and experience with service-oriented architectures, - A product-focused approach and care about building solutions that are robust, scalable, and easy to use, - Enjoy working with a fast-paced team tackling cutting-edge problems in AI safety and conversational AI, - Enjoy pair programming","- Experience with NLP and ML models, - Experience with REST APIs, - Experience with react and frontend frameworks, - Experience with containerisation and DevOps, - Experience with QA and testing automation, - Experience with privacy and security best practices"
Prompt Engineer & Librarian,"Anthropic (San Francisco, CA)",Full-time/Hybrid,Depends on the chosen location,Expected salary range is $250k - $375k USD.,"Join the product team and figure out the best methods of prompting AI to accomplish a wide range of tasks. Document these methods to build a library of tools and set of tutorials that allows others to learn prompt engineering, and work with high value partners to directly solve their challenges.","- 3-5 years of relevant or transferrable experience, - High level familiarity with the architecture and operation of large language models, - Excellent communication skills, and love for teaching technical concepts and creating high quality documentation, - Excitement to talk to motivated customers and help solve their problems, - A creative hacker spirit and love for solving puzzles, - Basic programming skills and comfort in writing small Python programs, - Organizational mindset and enjoy building teams from the ground up, - Ability to make ambiguous problems clear and identify core principles that can translate across scenarios","- Passion for making powerful technology safe and societally beneficial, - Anticipate unforeseen risks, model out scenarios, and provide actionable guidance to internal stakeholders, - Creativity about the risks and benefits of new technologies, and think beyond past checklists and playbooks, - Stay up-to-date and informed by taking an active interest in emerging research and industry trends"
Product Designer,"Anthropic (San Francisco, CA)",Full-time/Hybrid,Depends on the chosen location,Expected salary range is $280k - $375k USD.,"As a product designer, you will research and design how users interact with and experience AI technologies. You will be working with entirely new AI systems and design new ways for how people can reliably use them.","- Experience in human-computer interaction, user research, and design thinking, - Track record of shipping innovative and impactful designs, - Strong portfolio of design projects showcasing your process and results, - Excellent communication skills to collaborate with engineers and researchers, - Experience working directly with machine learning models and designing interfaces for them, - Experience designing for chat or multi-modal interfaces, - An interest in AI safety and ethics","- Experience at fast-growing startups, - Experience recruiting and mentoring design teams, - Front-end coding skills or functional prototyping, - Experience running quick user research and usability sessions and creating novel interactions for emerging technologies, ------------------------------------------------------------------------"
